0,0,300
10855,-150.8,300
11712,-658.9,300
12366.6,-1438.2,300
12773,-2439.7,300
12862.7,-3637.7,300
12526.8,-4991,300
11616.8,-6405.2,300
9961.2,-7690.5,300
7404,-8514.3,300
3879.6,-8356,300
-462.7,-6477.9,300
-5069.5,-1947.1,300
-8729,6241.3,300
-9273,18858.2,300
-3314.2,35854.5,300
10434.1,-4962,300
9438,-4950.4,300
8481.4,-4602.8,300
7628.6,-3938.7,300
6952,-2946.1,300
6566.3,-1606.1,300
6647.2,73.6,300
7438.3,2014.5,300
9241,4006.5,300
12372.4,5000,300
17072,5000,300
23327.1,4556,300
30590.4,-705.6,300
36000,-10000,300
7500,-2500,300
7684.4,-1521,300
8192.8,-639.3,300
8994.9,85.2,300
10089.9,579.2,300
11476.5,726.3,300
13116.7,355,300
14890.7,-761.2,300
16539.5,-2882.4,300
17596.1,-6248.4,300
17316.5,-10971.1,300
14634.6,-16849.8,300
8191.6,-23089.2,300
-3478.3,-27915.7,300
-21487.6,-28129.4,300
